id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
1209195,Kriszta's Studio,6602654,Kriszta,,Grandview-Woodland,49.27244,-123.06493,Private room,85,3,307,2019-11-06,3.92,2,0
1213494,Beautiful new home in Mt. Pleasant,6624242,Jonathan And Marie,,Mount Pleasant,49.26198,-123.08556,Entire home/apt,250,5,15,2019-08-24,0.29,2,130
1214617,Cool cozy suite on The Drive,6630357,Divina And Viv,,Grandview-Woodland,49.26589,-123.0677,Entire home/apt,149,3,189,2019-10-07,2.45,1,325
1216428,"Garden Paradise, by Olympic Village",6637800,Edward,,Mount Pleasant,49.26538,-123.09059,Private room,75,3,54,2019-10-05,1.00,1,365
1223989,Stunning Suite Heart of DT w/Parkng,6677154,Amanda,,West End,49.27915,-123.12949,Entire home/apt,120,89,100,2017-05-17,1.29,1,83
1229714,Luxury apartment Downtown Vancouver,1200456,Nala,,Downtown,49.28429,-123.1157,Entire home/apt,526,2,3,2019-06-23,0.57,8,365
1233101,Beautiful Vancouver Townhouse,3778731,Trevor,,Kitsilano,49.26658,-123.14956,Entire home/apt,185,31,2,2018-02-03,0.07,1,364
1269955,Downtown heritage 1 bdrm  apartment,6912044,Marten,,Downtown,49.28296,-123.12185,Entire home/apt,100,30,61,2019-08-31,0.79,1,32
1273760,Private Hotel-Style Suite in a Downtown Boutique High-Rise,6033,Cam,,Downtown,49.2858,-123.11767,Private room,151,1,382,2019-10-29,4.95,1,298
1281095,New and Cozy Flat in the Heart of Mount Pleasant,6971193,Monica & Thomas,,Mount Pleasant,49.26461,-123.09213,Entire home/apt,180,3,59,2019-10-29,0.76,1,105
1291394,Clean New Kits 3 bedroom/ 2bath!,7021457,Leila,,Kitsilano,49.26876,-123.18517,Entire home/apt,184,30,38,2018-05-31,0.50,2,191
1301620,Suite Life on Kitchener Street,7077434,Chris,,Grandview-Woodland,49.27169,-123.0659,Entire home/apt,120,1,197,2019-10-04,2.58,1,63
1301861,Martine's lodging East Village,2189535,Martine,,Hastings-Sunrise,49.28535,-123.05528,Private room,50,30,12,2019-08-11,0.16,4,47
1316419,120 501 Pacific,600607,Bruce,,Downtown,49.28183,-123.12161,Entire home/apt,88,181,2,2014-07-01,0.03,48,281
1316477,224 Yaletown Park.  Long term stay welcome,600607,Bruce,,Downtown,49.2772,-123.11841,Entire home/apt,85,90,5,2019-03-01,0.10,48,265
1343411,Close to Anywhere: Location Location Location,6904778,Mari,,Strathcona,49.27634,-123.09831,Entire home/apt,99,1,46,2019-11-08,0.91,1,0
